
PREFACE, 1913
I. INTO THE WEDDELL SEA, 1914-12-05
II. NEW LAND, 1915-01-01
III. WINTER MONTHS, 1915-03-01
IV. LOSS OF THE ENDURANCE, 1915-09-04
V. OCEAN CAMP, 1915-10-30?
VI. THE MARCH BETWEEN, 1915-12-23
VII. PATIENCE CAMP, 1915-12-30
VIII. ESCAPE FROM THE ICE, 1916-04-07
IX. THE BOAT JOURNEY, 1916-04-21
X. ACROSS SOUTH GEORGIA, 1916-05-19
XI. THE RESCUE, 1916-05-23?
XII. ELEPHANT ISLAND, 1916-04-25?
XIII. THE ROSS SEA PARTY, 1914-12-24
XIV. WINTERING IN McMURDO SOUND, 1915-03-11
XV. LAYING THE DEPOTS, 1915-10-09
XVI. THE AURORA’S DRIFT, 1915-01-25
XVII. THE LAST RELIEF, 1916-12-20
XVIII. THE FINAL PHASE, 1917
